Fun_1;Fun_2;Fun_3;Job_1;Job_2;Job_3;Qual_1;Qual_2;Qual_3;Qual_4;Ease_1;Ease_2;Ease_3;Ease_4;Zufr_1;Zufr_2;Zufr_3;Nuetz_1;Nuetz_2;Nuetz_3;Inten_1;Inten_2;Inten_3
2;2;2;4;3;3;3;3;3;4;2;2;2;2;3;3;2;2;4;4;3;4;4
;;3;4;4;4;3;3;3;3;2;2;2;2;;;;;;;;;
3;3;2;3;4;4;3;2;;3;3;3;2;2;3;2;2;3;3;4;3;4;4
;;;;;;1;2;3;3;2;2;3;2;;;;;;;;;
3;3;3;2;2;2;1;1;2;2;2;2;3;2;3;2;2;2;3;2;3;4;3
4;4;1;2;2;1;1;1;1;1;1;2;2;2;3;2;2;3;4;3;1;1;2
2;3;3;3;3;3;2;2;2;2;2;3;2;2;3;3;3;3;3;3;3;3;3
3;3;2;3;4;2;1;1;2;2;1;2;1;1;4;3;2;2;3;4;3;3;2
3;3;2;4;4;3;2;2;2;3;2;2;2;2;5;3;3;2;3;3;3;3;3
2;2;2;4;4;4;1;1;1;1;1;1;1;1;4;2;1;1;2;2;2;2;2
4;4;3;2;2;2;1;1;1;1;3;3;3;3;3;3;3;3;2;2;2;2;4
5;5;5;3;5;5;1;1;3;3;4;4;4;4;3;3;4;3;5;5;4;6;5
4;4;4;4;4;2;2;2;2;2;3;2;3;3;4;4;5;5;5;5;5;5;5
3;2;3;2;3;3;2;2;2;2;3;3;2;3;2;2;2;2;2;2;3;3;3
4;4;3;3;4;2;2;1;2;1;3;3;3;4;5;3;3;3;5;4;2;3;4
4;3;3;4;4;3;3;3;3;3;3;3;3;3;5;3;5;3;4;4;4;4;3
2;2;2;2;3;1;2;2;1;3;2;2;2;2;3;2;1;2;3;2;2;2;2
5;4;5;4;6;5;1;2;3;2;4;3;4;4;4;4;4;4;4;4;5;5;5
2;2;2;3;3;2;1;1;1;2;1;1;1;1;3;2;2;2;2;2;2;4;2
;;2;2;;2;1;1;1;1;;;;;;;;2;2;;2;2;2
4;4;3;5;5;5;1;1;1;1;3;4;4;4;5;5;4;4;5;5;4;4;5
1;1;1;2;1;1;1;1;2;2;2;2;2;1;3;2;1;2;2;3;1;1;2
5;5;4;3;4;3;1;1;1;1;4;4;4;4;4;5;6;3;4;4;5;6;3
4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
3;6;5;5;5;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4
4;3;3;3;3;4;2;2;3;2;2;3;2;3;3;2;2;2;4;3;4;3;3
3;3;3;4;4;3;2;3;1;4;3;3;3;3;4;4;3;3;3;4;4;4;3
3;2;2;2;1;2;1;1;1;1;2;3;2;3;2;1;2;1;2;2;2;3;2
3;3;3;4;4;3;1;1;1;1;2;2;2;2;3;3;5;2;4;4;4;3;3
4;5;5;6;6;6;6;6;4;5;4;3;4;5;6;4;6;5;5;5;6;6;6
3;3;2;2;2;2;1;1;1;1;2;2;2;3;4;2;2;2;4;3;2;3;2
3;2;2;3;3;2;2;2;2;3;2;2;2;2;3;2;2;2;3;3;2;2;2
2;2;2;2;2;1;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2
2;2;2;2;;;;;;;;;;2;;;;;;;;;
6;6;6;6;6;6;1;1;1;1;3;5;6;3;6;6;6;6;6;6;6;6;6
3;2;2;3;3;3;3;2;2;2;3;3;3;3;2;3;3;3;3;3;3;5;4
4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;3;4
2;2;2;1;1;1;2;2;2;2;2;2;2;2;;;;;;;;;
3;3;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4
6;4;4;2;6;4;2;2;2;2;3;3;3;3;6;4;4;4;4;4;4;4;4
3;3;3;5;5;3;1;2;2;1;2;2;2;2;4;3;2;3;4;4;4;4;4
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
2;2;2;4;4;3;2;4;2;4;2;2;3;2;4;3;2;2;4;4;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3;1;2;5;5;5;1;1;1;2;1;1;1;1;4;2;3;2;2;3;1;1;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;2;2;2
3;2;3;3;2;3;2;2;2;1;3;3;3;4;3;4;3;3;4;4;3;4;4
3;3;2;3;2;2;1;1;1;1;2;2;2;2;3;3;4;3;2;2;1;1;2
4;4;3;4;4;5;4;3;3;3;2;2;2;2;5;4;4;4;4;4;4;4;4
3;3;3;3;3;2;4;4;4;4;2;3;2;2;6;4;4;3;3;3;4;6;5
3;3;3;4;4;2;2;2;1;1;3;3;3;3;4;4;5;3;3;4;4;4;4
